strain,strain_rate
0.08921493695043413,1
0.0892863913475537,1
0.08936355636211771,1
0.08943785778588131,1
0.08950643881582385,1
0.08958358685294474,1
0.08966358593871215,1
0.089732151490263,1
0.08980642553294763,1
0.08986641207884027,1
0.08995781322998735,1
0.09003207051437528,1
0.09010632228502859,1
0.09018056854276577,1
0.09023196656909295,1
0.09033189961403593,1
0.09040898399720645,1
0.0904803531283746,1
0.09055171716635337,1
0.0906316388431527,1
0.09070299208597393,1
0.09077434023787297,1
0.09084853691617882,1
0.09091416785062989,1
0.09099976694447309,1
0.09107394689937148,1
0.09114526859018218,1
0.09121658519457207,1
0.09127078241255673,1
0.09137061170455035,1
0.09144761606389086,1
0.09152176280603089,1
0.09159020107331478,1
0.09167289106430888,1
0.09174131898977199,1
0.09181259310005174,1
0.09188671278627436,1
0.09194657467636011,1
0.09203778590452552,1
0.09211473890765436,1
0.092188836203137,1
0.09226007842529747,1
0.09233701432490855,1
0.09240824599168838,1
0.09248517049317731,1
0.09255639160770385,1
0.09262760765014445,1
0.09271021190601977,1
0.09278711318333084,1
0.09285261701461633,1
0.09292950734199355,1
0.09299784933675197,1
0.09307472849840846,1
0.09315160175011361,1
0.09322562225952241,1
0.09329109737402046,1
0.0933708004232736,1
0.09344765091921073,1
0.09352164951896333,1
0.09359279685516586,1
0.09365255670595472,1
0.09373507634354106,1
0.09381758917219889,1
0.09388871545694732,1
0.09396552616269069,1
0.09403095285139813,1
0.09411344127106626,1
0.09418739062148339,1
0.0942641783900829,1
0.09432389813387448,1
0.0944006754214843,1
0.09448597660580078,1
0.09455705536820724,1
0.09463097192213746,1
0.09470488301281457,1
0.09478163105613237,1
0.09485837320964026,1
0.09492374151030082,1
0.09499763096602495,1
0.09506014854911561,1
0.09514823487377057,1
0.09523063118587202,1
0.09529881610339473,1
0.09536699637205123,1
0.0954493746617258,1
0.09552038498239557,1
0.09559423036723462,1
0.0956652304027644,1
0.09573622539764721,1
0.09581289433129082,1
0.09589239664683766,1
0.09596053645840069,1
0.09603151049187054,1
0.09608544738855328,1
0.09618195878548871,1
0.0962585935541532,1
0.0963153562633389,1
0.09637495364050432,1
0.09642887201660957,1
0.096499812819377,1
0.09659628423553869,1
0.09665019067949966,1
0.09671827887643708,1
0.09680338260374802,1
0.09688847908903088,1
0.09698207685977037,1
0.09706432221472681,1
0.09714088939608516,1
0.09721745071535928,1
0.09729684144823417,1
0.0973450398897327,1
0.0974130807936822,1
0.09745843882447117,1
0.09756899040610922,1
0.09765969026898785,1
0.0977362118800034,1
0.09781272763591026,1
0.09788640394192678,1
0.097968574956856,1
0.09802807389085094,1
0.09810740029638648,1
0.09818105489600791,1
0.09825470407102883,1
0.09834534176390841,1
0.09840198615046472,1
0.0984756190564773,1
0.09855774167125098,1
0.09862570011468882,1
0.09869931655044079,1
0.09877009647445284,1
0.0988323786637484,1
0.09892296401502672,1
0.09900788033004936,1
0.09907014771186763,1
0.0991409013942725,1
0.0992144799139059,1
0.09928805302013906,1
0.0993644501323655,1
0.09943235377711956,1
0.09950591085603142,1
0.09958229132699671,1
0.09966149454268848,1
0.09973786313147663,1
0.0998057414257212,1
0.09987644308313884,1
0.09995279525900078,1
0.10002631406712438,1
0.10009700013196156,1
0.10017050833946878,1
0.10024118421287544,1
0.10032316196868125,1
0.1004051330046857,1
0.10046166083900623,1
0.10054079443917416,1
0.10061144414805623,1
0.10068774022774626,1
0.10076968138556408,1
0.10083466442642611,1
0.10090529337726234,1
0.10099286634890925,1
0.10106630873480293,1
0.10113692132731726,1
0.10120470472549425,1
0.10127530754653004,1
0.10136002435241827,1
0.10143626334192142,1
0.10150120308210053,1
0.10158025446554092,1
0.1016451848559506,1
0.10172140210903313,1
0.10180043608803996,1
0.10186252983267949,1
0.10194155265902845,1
0.1020121034775179,1
0.10209393619174296,1
0.10216729775990763,1
0.10224065394654741,1
0.1023055414725075,1
0.10238452929996018,1
0.10245786955363753,1
0.10252556347559541,1
0.10260171366071939,1
0.10266375767250514,1
0.10275117679225018,1
0.10283012942916829,1
0.10290061758789183,1
0.10297110077838487,1
0.10303030281946296,1
0.10311768990342578,1
0.10319097640859409,1
0.10326707594118252,1
0.10332907868623306,1
0.10341643966608417,1
0.10348688651044685,1
0.10355451081239263,1
0.10363058268626282,1
0.10368692849175498,1
0.10377707517737593,1
0.10385594686163714,1
0.10392354621158251,1
0.10399677368430986,1
0.10407844415526993,1
0.1041460284667242,1
0.10421923965004676,1
0.10429244547388432,1
0.10435720000496444,1
0.10444165613568517,1
0.10451766055523792,1
0.10458240050473538,1
0.10466120869970262,1
0.10472875363822004,1
0.10480473624105485,1
0.10488071307097216,1
0.10495387048888562,1
0.10502139566314034,1
0.10510016927064657,1
0.10517331063605971,1
0.10524925946908606,1
0.10532238993105006,1
0.10537864049357039,1
0.10546582261285428,1
0.10553893723974919,1
0.10560923472467466,1
0.1056823388671816,1
0.10574700346179222,1
0.10582853112150169,1
0.105904430209484,1
0.10597751277595142,1
0.10603653710382899,1
0.10610117879915017,1
0.10617705719702837,1
0.10626416973946291,1
0.10632036735276514,1
0.10638218107992783,1
0.10645241931399888,1
0.10656198110906784,1
0.10662939778629393,1
0.10669961865905582,1
0.1067473660361189,1
0.1068316205522108,1
0.10692990851636715,1
0.10700010829091423,1
0.10705626456260167,1
0.10711241768093954,1
0.1071910267496591,1
0.10728927939659433,1
0.1073650677002497,1
0.10741559004517097,1
0.10749136877692378,1
0.10758678567869709,1
0.10765693935737446,1
0.1077298939628064,1
0.10779723195183896,1
0.10787578720848853,1
0.10795433629469449,1
0.10801604910573266,1
0.10808336782905854,1
0.10815068202087877,1
0.10824323163665367,1
0.10831614348345894,1
0.10838624601545084,1
0.10844793217870326,1
0.10853484713247566,1
0.10861054109900192,1
0.10866660701010154,1
0.1087338819544149,1
0.1087703206596116,1
0.1088572075987376,1
0.10896090148327334,1
0.10901974998622661,1
0.10908980321269664,1
0.10914584226071983,1
0.10923549820608995,1
0.10932514611399193,1
0.10938677438906388,1
0.10944559783610679,1
0.10951282039602325,1
0.10961364576377113,1
0.10968365739973375,1
0.10974246338620008,1
0.10979286576520293,1
0.10987406425495574,1
0.10996645451708792,1
0.11003924083329245,1
0.11012601759453035,1
0.11020998793625501,1
0.1102911525647544,1
0.1103555198275869,1
0.11042268125009093,1
0.11048144379486197,1
0.11055419263790747,1
0.1106549130688524,1
0.11072205438736511,1
0.11079478572901072,1
0.11086471472313875,1
0.11094023254468119,1
0.11101574466371292,1
0.11107447236992363,1
0.11114997435328466,1
0.11119191743652687,1
0.11127020648532697,1
0.11135408080809098,1
0.11142676619780056,1
0.111493855714809,1
0.11153578437738865,1
0.11163640599546933,1
0.11173701748985844,1
0.11180408619618416,1
0.11185438477414208,1
0.1119186514978326,1
0.1120332036757764,1
0.1120946652888279,1
0.11216450344591107,1
0.112198024028949,1
0.11227623435331034,1
0.11235164565917656,1
0.1124298439701329,1
0.11249128121061484,1
0.11255829935021622,1
0.11265881813893792,1
0.11275932682464809,1
0.11282074382656859,1
